lineId,movieId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,poster_path,production_companies_name,writers,directors,actors,key_words
4670,tt5137222,Cigarettes et chocolat chaud,Cigarettes et chocolat chaud,2016,98,['Comedy'],6.3,599,['France'],/lpjQjfcg5hufZ27AMzeYyAwWSnt.jpg,['MK2 Films'],"['Gladys Marciano', 'Sophie Reine']",['Sophie Reine'],"['Gustave Kervern', 'Camille Cottin', 'Héloïse Dugas', 'Fanie Zanini', 'Thomas Guy', 'Franck Gastambide', 'Édith Le Merdy', 'Daniel Cohen', 'Margot du Jonchay', 'Vincent Claude']",[]
4671,tt5151570,Mrs. Harris Goes to Paris,Mrs. Harris Goes to Paris,2022,115,"['Comedy', 'Drama']",7.1,35924,"['Belgique', 'Canada', 'France', 'Hongrie', 'Royaume-Uni']",/2SV7RYEqiPr3LpTaI33eUtYn09c.jpg,"['Focus Features', 'Entertainment One', 'Superbe Films', 'Hero Squared', 'Elysian Films', 'uMedia', 'Moonriver']","['Paul Gallico', 'Carroll Cartwright', 'Anthony Fabian', 'Keith Thompson', 'Olivia Hetreed']",['Anthony Fabian'],"['Lesley Manville', 'Isabelle Huppert', 'Lambert Wilson', 'Alba Baptista', 'Lucas Bravo', 'Ellen Thomas', 'Rose Williams', 'Jason Isaacs', 'Anna Chancellor', 'Bertrand Poncet']","['paris, france', 'based on novel or book', 'widow', 'dress', 'fashion', 'cleaner', '1950s', 'cheerful']"
4672,tt5164438,The Starling,The Starling,2021,102,"['Comedy', 'Drama']",6.4,16683,"['Canada', 'États-Unis']",/gPkaPGNbjZCeRurSYGi0JD63DBa.jpg,"['Entertainment One', 'Boies/Schiller Film Group', 'Limelight']",['Matt Harris'],['Theodore Melfi'],"['Melissa McCarthy', ""Chris O'Dowd"", 'Kevin Kline', 'Timothy Olyphant', 'Daveed Diggs', 'Skyler Gisondo', 'Laura Harrier', 'Rosalind Chao', 'Kimberly Quinn', 'Loretta Devine']","['friendship', 'marriage', 'loss', 'grief']"
4673,tt5181830,Wendell & Wild,Wendell & Wild,2022,105,"['Adventure', 'Animation', 'Comedy']",6.4,14583,['États-Unis'],/5dsX6UAHqkQz1kiV8bs8SvjyVNa.jpg,"['Gotham Group', 'Monkeypaw Productions']","['Henry Selick', 'Jordan Peele', 'Clay McLeod Chapman']",['Henry Selick'],"['Lyric Ross', 'Keegan-Michael Key', 'Jordan Peele', 'Angela Bassett', 'James Hong', 'Sam Zelaya', 'Tamara Smart', 'Seema Virdi', 'Ramona Young', 'Ving Rhames']","['based on novel or book', 'stop motion', 'demon', 'underworld']"
4674,tt5216534,Digimon Adventure tri. Part 2: Determination,Digimon Adventure tri. 2: Ketsui,2016,84,"['Action', 'Adventure', 'Animation']",7.1,1500,['Japon'],/bHWbJxybcWXgtGL5K4HKEelrXW0.jpg,['Toei Animation'],"['Akiyoshi Hongo', 'Yûko Kakihara']",['Keitarô Motonaga'],"['Miho Arakawa', 'John Eric Bentley', 'John Eric Bentley', 'Johnny Yong Bosch', 'Johnny Yong Bosch', 'Robbie Daymond', 'Robbie Daymond', 'Dorothy Elias-Fahn', 'Dorothy Elias-Fahn', 'Dorothy Elias-Fahn', 'Dorothy Elias-Fahn', ""Jun'ya Enoki"", 'Doug Erholtz', 'Doug Erholtz', 'Tom Fahn', 'Tom Fahn', 'Anna Garduno', 'Anna Garduno', 'Anna Garduno', 'Anna Garduno', 'Natsuki Hanae']","['monster', 'anime', 'proxy battle']"
4675,tt5220122,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,97,"['Adventure', 'Animation', 'Comedy']",6.3,96530,['États-Unis'],/gjAFM4xhA5vyLxxKMz38ujlUfDL.jpg,"['Columbia Pictures', 'Sony Pictures Animation']","['Genndy Tartakovsky', 'Michael McCullers']",['Genndy Tartakovsky'],"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Fran Drescher', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Keegan-Michael Key', 'Jim Gaffigan']","['monster', 'vampire', 'vacation', 'cruise ship', 'summer vacation', 'dracula']"
4676,tt5222768,White Fang,Croc-Blanc,2018,85,"['Adventure', 'Animation', 'Drama']",6.9,4378,"['États-Unis', 'France', 'Luxembourg']",/jJx8zvW0H2N1WxrjYE8hRxS1N3u.jpg,"['Bidibul Productions', 'Superprod Animation', 'Big Beach', 'France 3 Cinéma']","['Jack London', 'Philippe Lioret', 'Serge Frydman', 'Dominique Monfery']",['Alexandre Espigares'],"['Raphaël Personnaz', 'Virginie Efira', 'Dominique Pinon', 'Frantz Confiac', 'Gilles Morvan', 'Julien Muller', 'Claire Baradat', 'Gérard Darier', 'Florian Wormser', 'Tom Morton']","['based on novel or book', 'wolf', 'remake', 'dog', 'half breed', 'native american tribe']"
4677,tt5243424,Buddymoon,Buddymoon,2016,80,['Comedy'],6.1,1601,['États-Unis'],/eP8CNI8U2PlHLN72IEi7KqzP4MA.jpg,"['Muck Media', 'Orion Pictures', 'Gravitas Ventures']","['Flula Borg', 'David Giuntoli', 'Alex Simmons']",['Alex Simmons'],"['David Giuntoli', 'Flula Borg', 'Claire Coffee', 'Brian T. Finney', 'Jeanne Syquia', 'Hutch Harris']","['depression', 'friendship', 'camping', 'mountain', 'hiking', 'honeymoon', 'wilderness', 'surprise', 'forest', 'historical figure', 'woods', 'oregon, usa', 'waterfall', 'best friend', 'nature', 'canceled wedding', 'former child star', 'explorer', 'struggling actor', 'backcountry', 'best man', 'wedding plans', 'positive thinking', 'jilted', 'memories', 'german', 'beautiful landscapes', 'out of shape']"
4678,tt5294966,After the Storm,Umi yori mo mada fukaku,2016,118,"['Comedy', 'Drama']",7.4,13955,['Japon'],/uwpBfqI1xPkSWD5PYlwypoBIkpz.jpg,"['Fuji Television Network', 'Bandai Visual', 'BUN-BUKU', 'AOI Pro.', 'GAGA Corporation']",['Hirokazu Koreeda'],['Hirokazu Koreeda'],"['Hiroshi Abe', 'Yôko Maki', 'Satomi Kobayashi', 'Lily Franky', 'Sosuke Ikematsu', 'Yuri Nakamura', 'Kazuya Takahashi', 'Yukiyoshi Ozawa', 'Taiyô Yoshizawa', 'Rie Minemura']","['japan', 'gambling', 'family relationships', 'slice of life', 'writer', 'storm', 'divorce', 'private detective', 'grandmother']"
4679,tt5304992,Set It Up,Set It Up,2018,105,"['Comedy', 'Romance']",6.5,73434,['États-Unis'],/XF5jV0UxKnYNPAimem0hbwPfCR.jpg,['Treehouse Pictures'],['Katie Silberman'],['Claire Scanlon'],"['Zoey Deutch', 'Glen Powell', 'Lucy Liu', 'Taye Diggs', 'Joan Smalls', 'Meredith Hagner', 'Pete Davidson', 'Jon Rudnitsky', 'Tituss Burgess', 'Jake Robinson']","['new york city', 'sports', 'date', 'boss', 'assistant', 'romcom', 'matchmaking', 'corporate', 'female protagonist', 'lgbt', 'employer employee relationship', 'workplace comedy', 'workplace romance']"
4680,tt5308322,Happy Death Day,Happy Death Day,2017,96,"['Comedy', 'Horror', 'Mystery']",6.6,181783,['États-Unis'],/cTaEIUYTt52ooq9quVbAQ7NpGwo.jpg,"['Vesuvius Productions', 'Blumhouse Productions', 'Digital Riot Media']",['Scott Lobdell'],['Christopher Landon'],"['Jessica Rothe', 'Israel Broussard', 'Ruby Modine', 'Charles Aitken', 'Laura Clifton', 'Jason Bayle', 'Rob Mello', 'Rachel Matthews', 'Ramsey Anderson', 'Brady Lewis']","['college', 'murder', 'time loop', 'slasher', 'young adult', 'college student', 'stabbed to death', 'appreciative', 'vibrant']"
4681,tt5314190,Sgt. Stubby: An American Hero,Sgt. Stubby: An American Hero,2018,84,"['Adventure', 'Animation', 'Family']",6.9,2817,"['Canada', 'France', 'Irlande', 'Royaume-Uni', 'États-Unis']",/l7MiBAz8QlqKPuUfH5Uxxjo33AT.jpg,"['Fun Academy Media Group', 'Mikros Image']","['Richard Lanni', 'Mike Stokey']",['Richard Lanni'],"['Logan Lerman', 'Helena Bonham Carter', 'Gérard Depardieu', 'Jordan Beck', 'Jordan Beck', 'Jim Pharr', 'Jim Pharr', 'Jason Ezzell', 'Guillaume Sentou', 'Christophe Lemoine', 'Nicholas Rulon', 'Nicholas Rulon', 'Brian Cook']","['rescue', 'paris, france', 'chase', 'world war i', 'baseball', 'cooking', 'based on true story', 'soldier', 'dog', 'animals', 'foreign immigrants', 'military working dogs']"
4682,tt5322004,Three Months,Three Months,2022,104,"['Comedy', 'Drama']",6.8,2747,['États-Unis'],/eTD5TXjNbQ9c0BawMquBCO667yE.jpg,"['MTV Entertainment Studios', 'The Allegiance Theater', 'POPFilms', 'Paramount', 'MTV Films']",['Jared Frieder'],['Jared Frieder'],"['Troye Sivan', 'Viveik Kalra', 'Brianne Tju', 'Ellen Burstyn', 'Louis Gossett Jr.', 'Judy Greer', 'Amy Landecker', 'Javier Muñoz', 'Steven Sean Garland', 'Scott Daniel Johnson']","['miami, florida', 'coming of age', 'hiv', 'lgbt', 'lgbt teen', 'gay theme']"
4683,tt5323662,A Silent Voice: The Movie,Koe no Katachi,2016,130,"['Animation', 'Drama']",8.2,131517,['Japon'],/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,"['Kyoto Animation', 'ABC Animation', 'Kodansha', 'Pony Canyon', 'Quaras', 'Shochiku']","['Yoshitoki Ôima', 'Reiko Yoshida']",['Naoko Yamada'],"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki', 'Kenshô Ono', 'Yûki Kaneko', 'Yui Ishikawa', 'Megumi Han', 'Toshiyuki Toyonaga', 'Mayu Matsuoka', 'Sachiko Kojima']","['high school', 'friendship', 'suicide', 'suicide attempt', 'deaf', 'bullying', 'coming of age', 'school', 'based on manga', 'adult animation', 'woman director', 'sign languages', 'shounen', 'anime', 'social anxiety', 'japanese high school', 'japanese school', 'intense', 'awestruck']"
4684,tt5337760,The Children of Chance,Les enfants de la chance,2016,95,"['Comedy', 'Drama']",6.3,180,['France'],/aliNBheWwVBsADwAqpMW3ikzuGz.jpg,"['Namsorg', 'Les Films Manuel Munz', 'Orange Studio', 'Wild Bunch', 'La Vérité Production']",['Malik Chibane'],['Malik Chibane'],"['Philippe Torreton', 'Pauline Cheviller', 'Matteo Perez', 'Néo Rouleau', 'Antoine Gouy', 'Eliott Lobrot', 'Baptiste Uhl', 'Camille Loubens', 'Ange Lanfranchi', 'Jules Rigault']",[]
4685,tt5351818,Rock'n Roll,Rock'n Roll,2017,123,"['Comedy', 'Drama', 'Family']",6.1,5138,['France'],/tkzVWew2NgepjYDWu5WeVXLEeCj.jpg,"['Pathé', 'M6 Films', 'Les Productions du Trésor']","['Guillaume Canet', 'Rodolphe Lauga', 'Philippe Lefebvre']",['Guillaume Canet'],"['Guillaume Canet', 'Marion Cotillard', 'Gilles Lellouche', 'Philippe Lefebvre', 'Camille Rowe', 'Kev Adams', 'Ben Foster', 'Maxim Nucci', 'Yarol Poupaud', 'Yvan Attal']","['midlife crisis', 'plastic surgery', 'director', 'couple', 'producer', 'self parody']"
4686,tt5362940,Eternal Beauty,Eternal Beauty,2019,95,"['Comedy', 'Drama', 'Romance']",6.3,2600,['Royaume-Uni'],/2CepKdqjNkaCdQPcDRSt3Rc6IDr.jpg,"['Cliff Edge Pictures', 'Endeavor Content', 'Ffilm Cymru Wales', 'Front Row Filmed Entertainment', 'Samuel Goldwyn Films']",['Craig Roberts'],['Craig Roberts'],"['Sally Hawkins', 'Morfydd Clark', 'Robert Pugh', ""Natalie O'Neill"", 'Elysia Welch', 'Penelope Wilton', 'Boyd Clack', 'Billie Piper', 'Rita Bernard-Shaw', 'Alice Lowe']","['schizophrenia', 'dark comedy', 'flashback', 'medication', 'mental illness', 'unreliable narrator', 'jilted', 'hallucinations']"
4687,tt5370828,The Art of Loving: Story of Michalina Wislocka,Sztuka kochania. Historia Michaliny Wislockiej,2017,121,"['Biography', 'Comedy', 'Drama']",7.0,4383,['Pologne'],/a2x7VelawCZNOjbviI7xidoxJyc.jpg,['Next Film'],"['Krzysztof Bernas', 'Blazej Dzikowski', 'Dominika Hilszczanska', 'Violetta Ozminkowski', 'Krzysztof Rak']",['Maria Sadowska'],"['Piotr Adamczyk', 'Piotr Adamczyk', 'Karolina Gruszka', 'Karolina Gruszka', 'Magdalena Boczarska', 'Magdalena Boczarska', 'Tomasz Kot', 'Tomasz Kot', 'Borys Szyc', 'Borys Szyc', 'Jasmina Polak', 'Jasmina Polak', 'Artur Barcis', 'Danuta Stenka', 'Arkadiusz Jakubik', 'Arkadiusz Jakubik', 'Eryk Lubos', 'Eryk Lubos']","['countryside', 'biography', 'sex education', 'gynecologist', 'voyeurism']"
4688,tt5371168,The Extraordinary Journey of the Fakir,The Extraordinary Journey of the Fakir,2018,92,"['Adventure', 'Comedy', 'Drama']",6.8,9108,"['Belgique', 'France', 'Inde', 'Singapour', 'États-Unis']",/mmBKx7YEuwbak5lrsK9HEnt6GNv.jpg,['Brio Films'],"['Romain Puértolas', 'Luc Bossi', 'Ken Scott', 'Jon Goldman']",['Ken Scott'],"['Dhanush', 'Bérénice Bejo', 'Erin Moriarty', 'Barkhad Abdi', 'Gérard Jugnot', 'Ben Miller', 'Abel Jafri', 'Sarah-Jeanne Labrosse', 'Kay Greidanus', 'Amruta Sant']","['zealous', 'fakir', 'european refugee crisis', 'wonder', 'joyous', 'admiring', 'cheerful', 'comforting', 'compassionate']"
