,full_text,startYear,averageRating,numVotes,writers,directors,actors
0, Comedy Musical Romance Samuel Goldwyn Productions matador (bullfighter) pre-code,1932,6.4,643, WilliamAnthonyMcGuire BertKalmar HarryRuby, LeoMcCarey, EddieCantor LydaRoberti RobertYoung RuthHall JohnMiljan NoahBeery J.CarrolNaish RobertEmmettO'Connor StanleyFields PaulPorcasi
1, Comedy Drama Romance Paramount ex-lover alcoholism playwright mistress heiress gossip columnist pre-code open marriage woman director stage actress adulterous affair unconventional arrangement alcoholic husband adulterous husband modern woman,1932,6.9,2260, EdwinJustusMayer CleoLucas, DorothyArzner, SylviaSidney FredricMarch AdrianneAllen Richard'Skeets'Gallagher GeorgeIrving EstherHoward FlorenceBritton CharlesColeman CaryGrant KentTaylor
2, Comedy Family Romance The Harold Lloyd Corporation hollywood screen test,1932,7.1,1807, VincentLawrence AgnesChristineJohnston JohnGrey FelixAdler ErnieBushmiller HaroldLloyd, ClydeBruckman HaroldLloyd, HaroldLloyd ConstanceCummings KennethThomson LouiseClosserHale SpencerCharters RobertMcWade EddieFetherston SydneyJarvis HaroldGoodwin MaryDoran
3," Comedy Drama Metro-Goldwyn-Mayer mother-in-law great depression securities, stocks and bonds  family bank run",1932,6.3,364, SylviaThalberg FrankButler ZeldaSears EveGreene FrancesGoodrich LeoMcCarey RalphSpence, SamWood, MarieDressler PollyMoran AnitaPage NormanFoster JohnMiljan JackieLynDufton JerryTucker CharlesGiblyn FrankDarien HenryArmetta
4, Comedy Drama Romance Metro-Goldwyn-Mayer infidelity prostitute love triangle tiger monsoon plantation based on play or musical indochina gunshot wound jungle gunshot pre-code riverboat dust storm malaria gun shooting french colonialism tropics romantic triangle rainy setting rubber plantation alpha male,1932,7.2,5215, JohnLeeMahin WilsonCollison DonaldOgdenStewart, VictorFleming, ClarkGable JeanHarlow GeneRaymond MaryAstor DonaldCrisp TullyMarshall ForresterHarvey WillieFung
5," Comedy Crime Romance Paramount jealousy robbery venice, italy widow approach based on play or musical secretary black and white extramarital affair pre-code emotions",1932,7.9,17166, SamsonRaphaelson GroverJones AladárLászló, ErnstLubitsch, MiriamHopkins KayFrancis HerbertMarshall CharlesRuggles EdwardEverettHorton C.AubreySmith RobertGreig LuisAlberni HooperAtchley TylerBrooke
6, Comedy Musical Romance Paramount baby,1933,6.5,150, RoyHorniman BenjaminGlazer NunnallyJohnson WaldemarYoung, NormanTaurog, MauriceChevalier HelenTwelvetrees EdwardEverettHorton AdrienneAmes BabyLeRoy EarleFoxe LeahRay BettyLorraine GertrudeMichael ErnestWood
7," Comedy Musical Romance Metro-Goldwyn-Mayer dancing marriage proposal dancer based on novel or book striptease musical tap dancing great depression stage show theater director revue beautiful woman jail singing black and white choreographer pre-code merry go round burlesque manhattan, new york city police raid rehearsal space broadway show uptown rich man night court determination dance practice financial backer manipulated woman dancing girls dance rehearsal",1933,6.8,2842, AllenRivkin P.J.Wolfson JamesWarnerBellah JoanCrawford RobertBenchley ZeldaSears, RobertZ.Leonard, JoanCrawford ClarkGable FranchotTone MayRobson WinnieLightner FredAstaire RobertBenchley TedHealy ArthurJarrett GrantMitchell
8, Comedy Musical Romance RKO Radio Pictures dancing airplane love triangle rio de janeiro fiancé pilot orchestra musical tap dancing beautiful woman singing black and white band singer showgirl pre-code biplane bandleader aerial stunts dance band forced landing romantic triangle dancing girls,1933,6.6,4280, CyrilHume H.W.Hanemann ErwinGelsey AnneCaldwell LouBrock AdeleComandini JosephFields ThomasLennon FredNibloJr. GilbertoSouto HarveyF.Thew H.Reynolds, ThorntonFreeland, DoloresDelRío GeneRaymond RaulRoulien GingerRogers FredAstaire BlancheFriderici WalterWalker EttaMoten RoyD'Arcy MauriceBlack
9," Comedy Drama Musical Warner Bros. Pictures philadelphia, pennsylvania musical stage show director dog broadway pre-code fainting chorus girl eviction financial crisis",1933,7.3,13657, RianJames JamesSeymour BradfordRopes WhitneyBolton, LloydBacon, WarnerBaxter BebeDaniels GeorgeBrent RubyKeeler GuyKibbee UnaMerkel GingerRogers NedSparks DickPowell AllenJenkins
10, Comedy Drama Musical Warner Bros. Pictures mistaken identity musical great depression songwriter pre-code hard times chorus girl broadway musical hidden identity show girls,1933,7.7,9740, ErwinGelsey JamesSeymour DavidBoehm BenMarkson AveryHopwood, MervynLeRoy, WarrenWilliam JoanBlondell AlineMacMahon RubyKeeler DickPowell GuyKibbee NedSparks GingerRogers RobertAgnew LorettaAndrews
11, Comedy Drama Romance Rio-Film GmbH,1933,6.5,73, ErnstNeubach, RichardOswald, JosephSchmidt ViktordeKowa CharlotteAnder FritzKampers CarlAuen CarldeVogt ErichBartels KarlMorvilius ErnstPistulla PhillipCervantes
12, Comedy Crime Music Metro-Goldwyn-Mayer pre-code prizefight boxing,1933,6.3,1142, JohnLeeMahin JohnMeehan FrancesMarion, W.S.VanDyke HowardHawks, MyrnaLoy MaxBaer PrimoCarnera JackDempsey WalterHuston OttoKruger VinceBarnett RobertMcWade MurielEvans JeanHoward
13, Comedy Fantasy Musical Samuel Goldwyn Productions Howard Productions pre-code eddie cantor,1933,6.7,899, GeorgeS.Kaufman RobertE.Sherwood WilliamAnthonyMcGuire GeorgeOppenheimer ArthurSheekman NatPerrin, FrankTuttle, EddieCantor EddieCantor RuthEtting GloriaStuart EdwardArnold DavidManners VerreeTeasdale AlanMowbray JackRutherford WillardRobertson LeeKohlmar
14," Comedy Drama Romance London Films Productions london, england bride matchmaking wedding marquis",1932,6.1,344, LajosBiró GeorgeGrossmith ArthurWimperis HelenGardom RobertVansittart, AlexanderKorda, RolandYoung GeorgeGrossmith JohnLoder WendyBarrie JoanGardner MerleOberon LadyTree KateCutler MauriceEvans MortonSelten
15, Comedy Romance Metro-Goldwyn-Mayer widow writer pre-code publisher,1933,6.8,1249, JohnMeehan LeonGordon RachelCrothers, HarryBeaumont RobertZ.Leonard, AnnHarding RobertMontgomery MyrnaLoy AliceBrady FrankMorgan MartinBurton LuisAlberni SterlingHolloway DavidNewell
16," Comedy Musical Romance RKO Radio Pictures dancing london, england entertainer nightclub mistaken identity musical aunt brighton, england misunderstanding singing divorce song and dance",1934,7.3,9209, DwightTaylor KennethS.Webb SamuelHoffenstein GeorgeMarionJr. DorothyYost EdwardKaufman RobertBenchley H.W.Hanemann J.HartleyManners StanleyRauh, MarkSandrich, FredAstaire GingerRogers AliceBrady EdwardEverettHorton ErikRhodes EricBlore LillianMiles CharlesColeman WilliamAustin BettyGrable
17, Comedy Drama Romance Warner Bros. Pictures u.s. navy,1934,6.2,1308, EarlBaldwin BenMarkson AlfredA.Cohn JoeTraub, LloydBacon, JamesCagney PatO'Brien GloriaStuart FrankMcHugh DorothyTree RobertBarrat WillardRobertson Guinn'BigBoy'Williams HowardHickman MaudeEburne
18, Comedy Drama Romance Universal Pictures black and white housekeeper pancakes pre-code passing for white,1934,7.5,6100, FannieHurst WilliamHurlbut PrestonSturges FinleyPeterDunne WalterFerris BiancaGilchrist VictorHeerman SarahY.Mason SamuelOrnitz ArthurRichman, JohnM.Stahl, ClaudetteColbert WarrenWilliam RochelleHudson NedSparks LouiseBeavers FrediWashington JuanitaQuigley AlanHale HenryArmetta WyndhamStanding
19," Comedy Romance Columbia Pictures newspaper miami, florida marriage reporter black and white screwball comedy socialite pre-code based on short story screwball hitchhiking road movie rich girl frantic brat trains lighthearted witty romantic",1934,8.1,118345, RobertRiskin SamuelHopkinsAdams, FrankCapra, ClarkGable ClaudetteColbert WalterConnolly RoscoeKarns JamesonThomas AlanHale ArthurHoyt BlancheFriderici CharlesC.Wilson ErnieAdams
20," Comedy Romance Tobis Filmkunst Sascha-Verleih ball vienna, austria",1934,7.6,437, WilliForst WalterReisch, WilliForst, PaulaWessely AntonWalbrook OlgaTschechowa HansMoser WalterJanssen PeterPetersen HildevonStolz JuliaSerda FritzImhoff
21, Comedy Crime Mystery Metro-Goldwyn-Mayer diamond cop-killer scotland yard serial killer jewel thief pre-code gentleman thief london bobby revenge murderer police superintendent revenge slasher partners in crimes,1934,6.9,644, PhilipMacDonald HowardEmmettRogers MoncktonHoffe JamesKevinMcGuinness, EdgarSelwyn RichardBoleslawski, RobertMontgomery ElizabethAllan LewisStone RalphForbes HenryStephenson ForresterHarvey IvanF.Simpson LeonardMudie AlecB.Francis CharlesIrwin
22, Comedy Drama Romance RKO Radio Pictures small town inventor gambling debt business idea business start-up young love dinner party socially awkward awkward situation nagging wife dinner guest social climber poor pretending to be rich ambitious wife,1935,6.9,4838, BoothTarkington DorothyYost MortimerOffner JaneMurfin, GeorgeStevens, KatharineHepburn FredMacMurray FredStone EvelynVenable FrankAlbertson AnnShoemaker CharleyGrapewin GradySutton HeddaHopper JonathanHale
23, Comedy Fantasy Musical UFA,1935,6.8,199, Molière TitusMacciusPlautus ReinholdSchünzel HeinrichvonKleist, ReinholdSchünzel, WillyFritsch WillyFritsch PaulKemp PaulKemp KätheGold FitaBenkhoff AdeleSandrock HildeHildebrand VilmaBekendorf AnnieAnn HildeBoenisch EwaldWenck
24, Comedy Romance Paramount magazine socialite,1935,6.1,293, ClaudeBinyon ElisabethSanxayHolding, WesleyRuggles, ClaudetteColbert FredMacMurray RobertYoung WilliamCollierSr. DonaldMeek RichardCarle EdgarKennedy JohnnyArthur KateMacKenna JimmyConlin
25, Comedy Fantasy Horror London Films Productions florida scotland castle ghost brick,1935,6.7,2336, EricKeown RobertE.Sherwood GeoffreyKerr, RenéClair, RobertDonat RobertDonat JeanParker EugenePallette ElsaLanchester RalphBunker PatriciaHilliard EverleyGregg MortonSelten ChiliBouchier MarkDaly
26," Comedy Romance Universal Pictures budapest, hungary department store mistaken identity based on play or musical romance black and white orphan waiter good deed usherette integrity sudden wealth naive girl seducer joyful",1935,7.5,1762, JaneHinton FerencMolnár PrestonSturges, WilliamWyler, MargaretSullavan HerbertMarshall FrankMorgan ReginaldOwen EricBlore BeulahBondi AlanHale CesarRomero LuisAlberni JuneClayworth
27, Comedy Romance RKO Radio Pictures radio cooking show county judge movie theater,1935,6.3,628, SamuelHopkinsAdams AllanScott GlennTryon, WilliamA.Seiter, GingerRogers GeorgeBrent AlanMowbray GrantMitchell SamuelS.Hinds JoanBreslau LouisMason SpencerCharters WilliamB.Davidson GeorgeDavis
28, Comedy First National Pictures Warner Bros. Pictures irish-american boxer cop firefighter,1935,6.2,837, EarlBaldwin FrankOrsatti, LloydBacon, JamesCagney PatO'Brien OliviadeHavilland FrankMcHugh AllenJenkins MaryGordon J.FarrellMacDonald ThomasE.Jackson HarveyParry PhilBloom
29, Comedy Musical Sport Associated Talking Pictures (ATP) sports musical motorcycle,1935,6.4,348, ThomasJ.Geraghty WalterGreenwood FredThompson, MontyBanks, GeorgeFormby FlorenceDesmond EdwardRigby JackHobbs PeterGawthorne MontyBanks HowardDouglas BeatrixFielden-Kaye AlfGoddard FlorenceGregson
30," Comedy Drama Fantasy Gaumont-British Picture Corporation london, england boarding house",1935,7.0,369, JeromeK.Jerome MichaelHogan AlmaReville, BertholdViertel, ConradVeidt ReneRay FrankCellier AnnaLee JohnTurnbull CathleenNesbitt RonaldWard BeatrixLehmann JackLivesey SaraAllgood
31," Comedy Musical Romance RKO Radio Pictures dancing paris, france dance performance musical dressmaker singing black and white fashion",1935,7.0,3880, OttoA.Harbach AliceDuerMiller JaneMurfin SamMintz AllanScott GlennTryon DorothyYost, WilliamA.Seiter, IreneDunne FredAstaire GingerRogers RandolphScott HelenWestley ClaireDodd VictorVarconi LuisAlberni FerdinandMunier TorbenMeyer
32, Comedy Mystery Romance RKO Radio Pictures dancer,1935,6.7,1890, HowardJ.Green AnthonyVeiller EdwardKaufman ArthurSomersRoche, StephenRoberts, WilliamPowell GingerRogers PaulKelly GeneLockhart RalphMorgan LeslieFenton J.FarrellMacDonald RussellHopton VivienOakland RobertEmmettO'Connor
33, Comedy Drama Romance RKO Radio Pictures family relationships scam disguise confidence game woman dressed as man,1935,6.2,4849, GladysUnger JohnCollier MortimerOffner ComptonMacKenzie, GeorgeCukor, KatharineHepburn CaryGrant BrianAherne EdmundGwenn RobertAdair BunnyBeatty MayBeatty DaisyBelmore CarmenBeretta NinaBorget
34," Comedy Musical Romance RKO Radio Pictures dancing dance london, england venice, italy mistaken identity musical tap dancing stage show based on play or musical fashion designer singing black and white fashion valet rapier song and dance",1935,7.7,21804, DwightTaylor AllanScott AladárLászló SándorFaragó BenHolmes KárolyNóti RalphSpence, MarkSandrich, FredAstaire GingerRogers EdwardEverettHorton ErikRhodes EricBlore HelenBroderick RobertAdair LucilleBall TitoBlasco WilliamA.Boardway
35, Comedy Crime Drama Columbia Pictures mistaken identity screwball comedy milquetoast,1935,7.3,3676, JoSwerling RobertRiskin W.R.Burnett, JohnFord, EdwardG.Robinson EdwardG.Robinson JeanArthur ArthurHohl JamesDonlan ArthurByron WallaceFord DonaldMeek EtienneGirardot EdwardBrophy PaulHarvey
36, Comedy Cine-Allianz Tonfilmproduktions GmbH,1936,7.0,170, WilliForst JochenHuth, WilliForst, RenateMüller JennyJugo AntonWalbrook HeinzRühmann HildeHildebrand HeinzSalfner WillDohm NormaWellhoff F.W.Schröder-Schrom JuliaSerda
37," Comedy Drama Romance 20th Century Fox wedding night based on song, poem or rhyme",1936,6.1,729, HarryHamilton NunnallyJohnson, JohnCromwell, BarbaraStanwyck JoelMcCrea WalterBrennan BuddyEbsen HelenWestley WalterCatlett TonyMartin KatherineDeMille VictorKilian MinnaGombell
38, Comedy Musical Romance Metro-Goldwyn-Mayer musical sailor tap dance,1936,6.7,2101, JackMcGowan SidSilvers BuddyG.DeSylva, RoyDelRuth, EleanorPowell JamesStewart VirginiaBruce UnaMerkel SidSilvers FrancesLangford RaymondWalburn AlanDinehart BuddyEbsen JuanitaQuigley
39, Comedy Musical Mystery Warner Bros. Pictures boxer musical chorus girl,1936,6.4,2184, LairdDoyle H.C.Witwer, LloydBacon, MarionDavies ClarkGable AllenJenkins RoscoeKarns WalterCatlett RobertPaige HobartCavanaugh RuthDonnelly PertKelton WilliamCollierSr.
40, Comedy Algefa Film Tobis Filmkunst,1936,6.3,20, RudolphHansBartsch E.W.Emo ArthurPohl HannsSaßmann FranzBaumann, E.W.Emo, PaulHörbiger GretlTheimer MariaAndergast ElseElster GustavWaldau JuliaSerda KarlBraun RudolfVones WolfgangvonSchwindt IvánPetrovich
41, Comedy Mystery RKO Radio Pictures police taxi driver homicide greed surgeon autopsy deception clue racetrack jockey screwball comedy horse track horse racing private detective spider bite female detective reconciliation damsel in distress mystery writer bookmaker black widow amateur sleuth may/december dead bodies,1936,6.9,2431, AnthonyVeiller JamesEdwardGrant, StephenRoberts, WilliamPowell JeanArthur JamesGleason EricBlore RobertArmstrong LilaLee GrantMitchell ErinO'Brien-Moore RalphMorgan LucileGleason
42," Comedy Musical Romance RKO Radio Pictures dancing navy san francisco, california show business musical tap dancing u.s. navy based on play or musical remake ballroom dancing singing black and white sailor showbiz taxi dancer dance number dance team dance film jazz dancer sisters boat repair",1936,7.1,4973, DwightTaylor AllanScott HubertOsborne LewLipton DorothyYost, MarkSandrich, FredAstaire GingerRogers RandolphScott HarrietNelson AstridAllwyn BettyGrable HarryBeresford RussellHicks BrooksBenedict RayMayer
43, Comedy Musical Romance Warner Bros. Pictures show business musical insurance fraud based on play or musical theatrical producer insurance agent insurance policy chorus girl broadway show crooked partner show girls musical show dancing girls,1936,6.4,1332, WarrenDuff RichardMaibaum MichaelWallace GeorgeHaight, LloydBacon, DickPowell JoanBlondell GlendaFarrell VictorMoore LeeDixon OsgoodPerkins CharlesD.Brown RosalindMarquis IreneWare WilliamB.Davidson
44, Comedy Romance Metro-Goldwyn-Mayer newspaper fishing marriage love lawyer reporter wedding divorce screwball comedy high society editor libel,1936,7.8,9504, MaurineDallasWatkins HowardEmmettRogers GeorgeOppenheimer WallaceSullivan, JackConway, JeanHarlow WilliamPowell MyrnaLoy SpencerTracy WalterConnolly CharleyGrapewin CoraWitherspoon E.E.Clive BunnyBeatty OttoYamaoka
45, Comedy Family Sport Paramount milkman fixed fight,1936,6.5,1944, GroverJones FrankButler RichardConnell LynnRoot HarryClork DorisMalloy, LeoMcCarey RayMcCarey NormanZ.McLeod, HaroldLloyd AdolpheMenjou VerreeTeasdale HelenMack WilliamGargan GeorgeBarbier DorothyWilson LionelStander CharlesLane MarjorieGateson
46, Comedy Cinéas,1936,6.7,388, SachaGuitry, SachaGuitry, SachaGuitry GastonDubosc SergeGrave PaulBernard JacquelineDelubac BettyDaussmond RobertSeller PaulineCarton MarcelLévesque SimoneParis
47, Comedy Drama Romance Universal Pictures lovesickness butler scavenger hunt black and white screwball comedy socialite depression era high society lovesick mentor protégé relationship protégé city dump idle rich propriety,1936,7.9,28087, MorrieRyskind EricHatch ZoeAkins GregoryLaCava RobertPresnellSr., GregoryLaCava, WilliamPowell CaroleLombard AliceBrady GailPatrick EugenePallette JeanDixon AlanMowbray MischaAuer PatFlaherty RobertLight
48, Comedy Drama Music Columbia Pictures singer welfare welfare worker,1936,6.6,856, KatherineLeslieMoore WilliamRankin JoSwerling, NormanZ.McLeod, BingCrosby MadgeEvans EdithFellows LouisArmstrong DonaldMeek JohnGallaudet WilliamStack NanaBryant TomDugan NydiaWestman
49, Comedy Mystery Romance Columbia Pictures small town connecticut bestseller screwball comedy,1936,7.1,3201, SidneyBuchman MaryEuniceMcCarthy, RichardBoleslawski, IreneDunne MelvynDouglas ThomasMitchell ThurstonHall ElisabethRisdon MargaretMcWade SpringByington NanaBryant HenryKolker LeonaMaricle
50, Comedy Drama Romance Metro-Goldwyn-Mayer wife magazine secretary business trip publisher,1936,7.0,4178, NormanKrasna JohnLeeMahin FaithBaldwin AliceDuerMiller, ClarenceBrown, ClarkGable JeanHarlow MyrnaLoy MayRobson GeorgeBarbier JamesStewart HobartCavanaugh TomDugan GilbertEmery MarjorieGateson
51, Comedy Romance Columbia Pictures husband wife relationship upper class aunt niece relationship romcom aunt neighbor misunderstanding divorce dog heiress screwball comedy nightclub singer wealthy man romantic misunderstanding suspiciousness relationship sabotage mischievous pet custody impending divorce comedy of remarriage romantic,1937,7.6,22935, ViñaDelmar ArthurRichman SidneyBuchman, LeoMcCarey, IreneDunne CaryGrant RalphBellamy AlexanderD'Arcy CecilCunningham MollyLamont EstherDale JoyceCompton RobertAllen RobertWarwick
52, Comedy Drama Romance 20th Century Fox love at first sight gambling debt restaurant owner disguise millionaire heiress russian prince fancy restaurant imposture,1937,6.6,781, JacquesDeval GregoryRatoff, EdwardH.Griffith, LorettaYoung TyronePower AdolpheMenjou GregoryRatoff GregoryRatoff CharlesWinninger HelenWestley ChristianRub FerdinandGottschalk GeorgesRenavent LeonidKinskey
53, Comedy Paramount nightclub vienna opera,1937,6.1,82, FrankButler DonHartman H.S.Kraft BillyWilder, A.EdwardSutherland, GladysSwarthout FredMacMurray JackOakie Veloz Yolanda HermanBing FritzLeiber VivienneOsborne FrankForest BennyBaker
54," Comedy Drama Romance Walter Wanger Productions paris, france blackmail iceberg restaurant ocean liner divorce chef headwaiter",1937,7.4,2825, GeneTowne C.GrahamBaker VincentLawrence DavidHertz FrankBorzage, FrankBorzage, CharlesBoyer JeanArthur LeoCarrillo ColinClive IvanLebedeff GeorgeMeeker LucienPrival GeorgeDavis BobbyBarber PhyllisBarry
55, Comedy Romance Paramount sleigh switzerland train bobsled,1937,6.1,585, ClaudeBinyon HelenMeinardi, WesleyRuggles, ClaudetteColbert MelvynDouglas RobertYoung LeeBowman MonaBarrie GeorgeDavis FritzFeld RudolphAnders AlexanderCross GeorgeSorel
56, Comedy Romance Warner Bros. Pictures love king chorus girl monarch,1937,6.2,514, NormanKrasna GrouchoMarx JuliusJ.Epstein ArthurSheekman, MervynLeRoy, FernandGravey JoanBlondell EdwardEverettHorton AlanMowbray MaryNash JaneWyman LuisAlberni KennyBaker AlShaw SamLee
57," Comedy Drama Romance Metro-Goldwyn-Mayer london, england butler auction pearl necklace criminal gang woman director confidence man love tested con woman british society jewel thieves rivals to lovers con artists",1937,6.4,1791, LeonGordon SamsonRaphaelson MoncktonHoffe FrederickLonsdale GeorgeOppenheimer, RichardBoleslawski DorothyArzner GeorgeFitzmaurice, RobertMontgomery JoanCrawford WilliamPowell FrankMorgan JessieRalph NigelBruce PhyllisClare BenitaHume RalphForbes AileenPringle
58, Comedy Music 20th Century Fox musical feud,1937,6.2,57, CurtisKenyon ArtArthur, SidneyLanfield, WalterWinchell BenBernie SimoneSimon BertLahr JoanDavis DickBaldwin RuthTerry DouglasFowley ChickChandler CharlesWilliams
59, Comedy Crime Romance UFA detective parody sherlock holmes,1937,7.0,1053, RobertA.Stemmle KarlHartl, KarlHartl, HansAlbers HeinzRühmann MarieluiseClaudius HansiKnoteck HildeWeissner GüntherBallier PaulBildt ErichDunskus AngeloFerrari LotharGeist
60, Comedy Drama Music Universal Pictures musical,1937,6.7,1358, BruceManning CharlesKenyon JamesMulhauser HannsKräly, HenryKoster, DeannaDurbin AdolpheMenjou AliceBrady LeopoldStokowski EugenePallette MischaAuer BillyGilbert AlmaKruger J.ScottSmart JedProuty
61, Comedy Romance Warner Bros. Pictures love on the run screwball comedy,1937,6.6,482, NormanReillyRaine LawrenceRiley BrewsterMorse FritzFalkenstein SamuelHopkinsAdams, MichaelCurtiz, ErrolFlynn JoanBlondell HughHerbert EdwardEverettHorton DickForan BeverlyRoberts MayRobson AllenJenkins DennieMoore HughO'Connell
62, Comedy Drama Romance RKO Radio Pictures school maid spinster 19th century,1937,6.2,1369, J.M.Barrie AllanScott MortimerOffner JackTownley, GeorgeStevens, KatharineHepburn FranchotTone EricBlore FayBainter CoraWitherspoon EstelleWinwood SherwoodBailey WilliamBakewell JoanFontaine HelenaGrant
63, Adventure Animation Family Walt Disney Productions witch dying and death princess becoming an adult dwarf poison sadness queen attempted murder cartoon villain miner apple candlelight vigil evil queen based on fairy tale magic mirror good versus evil seven dwarfs whimsical awestruck straightforward,1937,7.6,235095, JacobGrimm WilhelmGrimm TedSears RichardCreedon OttoEnglander DickRickard EarlHurd MerrillDeMaris DorothyAnnBlank WebbSmith, WilliamCottrell DavidHand WilfredJackson LarryMorey PercePearce BenSharpsteen, AdrianaCaselotti AdrianaCaselotti HarryStockwell HarryStockwell LucilleLaVerne LucilleLaVerne LucilleLaVerne LucilleLaVerne RoyAtwell RoyAtwell StuartBuchanan StuartBuchanan EddieCollins EddieCollins EddieCollins EddieCollins PintoColvig PintoColvig PintoColvig PintoColvig PintoColvig PintoColvig MarionDarlington MarionDarlington BillyGilbert BillyGilbert OtisHarlan OtisHarlan
64, Comedy Romance London Films Productions Victor Saville Productions politics scotland politician reporter,1937,6.6,1271, BrunoFrank JamesBridie IanDalrymple DonaldBull, IanDalrymple VictorSaville, VivienLeigh RexHarrison CecilParker SaraAllgood UrsulaJeans GusMcNaughton EdgarK.Bruce RobertHale QuintonMcPherson ArthurWontner
65, Comedy Drama Musical Paramount musical trumpet,1937,6.1,967, VirginiaVanUpp OscarHammersteinII GeorgeMankerWatters ArthurHopkins WalterDeLeon FrancisMartin, MitchellLeisen, CaroleLombard FredMacMurray CharlesButterworth JeanDixon DorothyLamour HarveyStephens CecilCunningham CharlesArnt FranklinPangborn AnthonyQuinn
66, Comedy Fantasy Romance Hal Roach Studios banker based on novel or book bank car accident anger ghost accident,1937,7.2,8941, JackJevne EricHatch EddieMoran ThorneSmith, NormanZ.McLeod, CaryGrant ConstanceBennett RolandYoung BillieBurke AlanMowbray EugenePallette ArthurLake HeddaHopper VirginiaSale TheodorevonEltz
67, Comedy Crime Paramount court case falsely accused blackmail liar false accusations attempted rape defense attorney screwball murder trial accused of murder wrongly accused wrongfully accused innocent man accused of murder,1937,6.6,1855, ClaudeBinyon LouisVerneuil GeorgesBerr, WesleyRuggles, CaroleLombard FredMacMurray JohnBarrymore UnaMerkel PorterHall EdgarKennedy LynneOverman IrvingBacon FritzFeld RichardCarle
68, Comedy Music Romance 20th Century Fox,1937,6.8,170, HarryTugend JackYellen CurtisKenyon DorotheaBrande, SidneyLanfield, WalterWinchell BenBernie AliceFaye PatsyKelly NedSparks JackHaley WalterCatlett GraceBradley JoanDavis LeahRay
69, Comedy Musical Romance Columbia Pictures musical,1937,6.2,508, EthelHill RobertRiskin CedricWorth, RobertRiskin HarryLachman, GraceMoore CaryGrant AlineMacMahon HenryStephenson ThomasMitchell CatherineDoucet LuisAlberni GeraldOliverSmith EmmaDunn GeorgeC.Pearce
70, Comedy RKO Radio Pictures prison donation museum zoo affectation paleontologist leopard bone cross dressing black and white psychiatrist screwball comedy lighthearted audacious cheerful,1938,7.8,69491, DudleyNichols HagarWilde, HowardHawks, KatharineHepburn CaryGrant CharlesRuggles WalterCatlett BarryFitzgerald MayRobson FritzFeld LeonaRoberts GeorgeIrving TalaBirell
71, Comedy Drama Romance London Films Productions United Artists hotel romcom lawyer misunderstanding divorce screwball comedy mischievous comedy of remarriage romantic comedy of manners,1938,6.6,1770, LajosBiró IanDalrymple ArthurWimperis GilbertWakefield RobertE.Sherwood, TimWhelan, MerleOberon LaurenceOlivier BinnieBarnes RalphRichardson MortonSelten J.H.Roberts GertrudeMusgrove GusMcNaughton H.B.Hallam EileenPeel
72, Comedy Musical Romance Metro-Goldwyn-Mayer musical dysfunctional family neglected child blackface interclass romance,1938,6.2,703, FlorenceRyerson EdgarAllanWoolf JamesGruen BertKalmar MiltonMerlin HarryRuby DaltonTrumbo, EdwinL.Marin, AllanJones JudyGarland FannyBrice ReginaldOwen BillieBurke ReginaldGardiner LynneCarver HelenTroy MontyWoolley AdiaKuznetzoff
73, Comedy Drama Les Films Marcel Pagnol,1938,7.5,2638, JeanGiono MarcelPagnol, MarcelPagnol, Raimu GinetteLeclerc FernandCharpin RobertVattier CharlesBlavette RobertBassac MarcelMaupi AlidaRouffe OdetteRoger YvetteFournier
74, Comedy Romance Warner Bros. Pictures newspaper reporter,1938,6.3,1416, CaseyRobinson SigHerzig WallaceSullivan, MichaelCurtiz, ErrolFlynn OliviadeHavilland RosalindRussell PatricKnowles WalterConnolly HughHerbert MelvilleCooper FranklinPangborn HermanBing MargaretHamilton
75, Comedy Music Romance 20th Century Fox sports skating figure skating,1938,6.2,211, MiltonSperling BorisIngster, RoyDelRuth, SonjaHenie DonAmeche JeanHersholt EthelMerman CesarRomero BillyGilbert RaymondScott WallyVernon LeahRay SteveCondos
76, Comedy Romance Columbia Pictures new year's eve sibling relationship holiday romcom sister free spirit best friend mansion alcoholic millionaire screwball comedy stubbornness marriage engagement high society social class christmas college professor drunkard wealthy family,1938,7.7,19684, DonaldOgdenStewart SidneyBuchman PhilipBarry, GeorgeCukor, KatharineHepburn CaryGrant DorisNolan LewAyres EdwardEverettHorton HenryKolker BinnieBarnes JeanDixon HenryDaniell HarryAllen
77, Comedy Drama Romance Societé d'Exploitation et de Distribution de Films (SEDIF) Impérial Film hotel prostitute france sexual freedom prison visit blood transfusion suicide pact sexual liberation sexually aggressive woman young lovers canal locks bohemians wife swapping suicide by gun,1938,7.5,3519, EugèneDabit HenriJeanson JeanAurenche, MarcelCarné, Annabella Jean-PierreAumont LouisJouvet Arletty PauletteDubost Andrex AndréBrunot HenriBosc MarcelAndré BernardBlier
78, Comedy Mystery RKO Radio Pictures gangster madcap comedy screwball comedy socialite prankster investigative journalism murder mystery libel suit,1938,6.7,3090, PhilipG.Epstein WilsonCollison FredF.Finklehoffe ArthurKober JohnMonksJr. HalYates, LeighJason, BarbaraStanwyck HenryFonda SamLevene FrancesMercer StanleyRidges WhitneyBourne VickieLester AnnEvers CatherineO'Quinn LindaPerry
