,full_text,startYear,averageRating,numVotes,writers,directors,actors
4208, Comedy Romance Jerico Films Père & Films,2021,6.4,808, PascalElbé, PascalElbé, SandrineKiberlain PascalElbé ValérieDonzelli FrançoisBerléand EmmanuelleDevos AnneAzoulay ClaudiaTagbo MartheVillalonga MichelBoujenah AntoineGouy
4209, Action Comedy Drama Gaeta / Rosenzweig Films DreamWorks Pictures Michael De Luca Productions Reliance Entertainment sunrise vampire suspicion suburbia remake amused frightened horrified,2011,6.4,118726, MartiNoxon TomHolland, CraigGillespie, AntonYelchin ColinFarrell DavidTennant ToniCollette ImogenPoots ChristopherMintz-Plasse DaveFranco ReidEwing WillDenton SandraVergara
4210, Comedy Drama Fantasy MJW Films Davis Entertainment The Film Department workplace cancer co-workers relationship dog allergy doctor patient relationship duringcreditsstinger woman director,2011,6.2,30483, GrenWells, NicoleKassell, KateHudson GaelGarcíaBernal KathyBates PeterDinklage LucyPunch RomanyMalco RosemarieDeWitt WhoopiGoldberg TreatWilliams StevenWeber
4211, Comedy Horror Fortuitous Films,2023,6.2,2772, AndrewBowser, AndrewBowser, AndrewBowser RivkahReyes MelanieChandra Terrence'T.C.'Carson ArdenMyrin BarbaraCrampton OliviaTaylorDudley JeffreyCombs RyanStanger MadisonReedDudley
4212, Comedy Drama Les Productions du Trésor M6 Films EuropaCorp parent child relationship boat country house thirty something beach house organic food weasel group of friends reprimand declaration of love texting low tide forced interrupted vacation osteopath lovesick,2010,7.1,28060, GuillaumeCanet, GuillaumeCanet, FrançoisCluzet MarionCotillard BenoîtMagimel JeanDujardin GillesLellouche LaurentLafitte ValérieBonneton PascaleArbillot AnneMarivin LouiseMonot
4213, Comedy Drama Romance Ffilm Cymru Wales Warp (Submarine) Warp Films Film4 Productions Red Hour friendship wales beach bullying loss of virginity coming of age teenage girl teenage protagonist swansea romantic sarcastic,2010,7.3,99947, RichardAyoade JoeDunthorne, RichardAyoade, CraigRoberts SallyHawkins PaddyConsidine NoahTaylor YasminPaige DarrenEvans OsianCaiDulais LilyMcCann OtisLloyd ElinorCrawley
4214, Action Animation Crime DC Entertainment Warner Bros. Animation holiday superhero halloween aftercreditsstinger,2021,7.2,18860, BillFinger BobKane JephLoeb TimSale TimSheridan, ChrisPalmer, JensenAckles JensenAckles JoshDuhamel JoshDuhamel NayaRivera NayaRivera TroyBaker LailaBerzins BillyBurke ZachCallison DavidDastmalchian DavidDastmalchian AlyssaDiaz JohnDiMaggio
4215," Comedy Drama CAA Media Finance FilmNation Entertainment Miramax vietnam war winter boarding school holiday boston, massachusetts 1970s alcoholism grief misfit mental illness teacher student relationship new england boys' boarding school christmas winter break troubled youth loss of son playful intimate christmastime cook sentimental",2023,7.9,212750, DavidHemingson, AlexanderPayne, PaulGiamatti Da'VineJoyRandolph DominicSessa CarriePreston BradyHepner IanDolley JimKaplan MichaelProvost AndrewGarman NaheemGarcia
4216, Comedy Drama Romance Volition Media Partners Thomasville Pictures Story in The Sky Buffalo 8 Kodiak Pictures New Legend Entertainment romance love family hometown return to hometown,2022,6.2,2407, DarrenLeGallo, DarrenLeGallo, JakeHoffman SchuylerFisk DustinHoffman SissySpacek ElizabethFaithLudlow ElizabethBecka PatDortch DylanMcNamara LarryLarson DeMorrisStroud
4217, Comedy Drama Romance Ruby Films BBC Film Notting Hill Films UK Film Council WestEnd Films journalist countryside village newpaper,2010,6.2,23313, PosySimmonds MoiraBuffini, StephenFrears, GemmaArterton LukeEvans DominicCooper RogerAllam BillCamp TamsinGreig JessicaBarden CharlotteChristie JamesNaughtie JohnBett
4218, Comedy Fantasy Universal Pictures Relativity Media Original Film Big Kid Pictures Rampage VFX jealousy bachelor fountain sarcasm wish slacker lawyer co-workers relationship twins body-swap envy opposites duringcreditsstinger aspiring actor family man body switch weed job switch best friends lifelong friendship living the dream,2011,6.3,203014, JonLucas ScottMoore, DavidDobkin, JasonBateman RyanReynolds OliviaWilde LeslieMann AlanArkin MirceaMonroe GregoryItzin NedSchmidtke MingLo SydneyRouviere
4219, Adventure Animation Drama The Jim Henson Company ShadowMachine Double Dare You Productions based on novel or book italy fascism greed woodcutter musical puppet benito mussolini stop motion dark fantasy duringcreditsstinger 1940s wooden dummy,2022,7.6,124897, GuillermodelToro PatrickMcHale CarloCollodi MatthewRobbins, GuillermodelToro MarkGustafson, EwanMcGregor DavidBradley GregoryMann GregoryMann BurnGorman RonPerlman JohnTurturro FinnWolfhard CateBlanchett TimBlakeNelson ChristophWaltz
4220," Comedy Drama Resource Productions marriage proposal london, england escape wedding india punjabi",2022,7.1,81, PraveshKumar ApurvaAsrani, PraveshKumar, RameetRauli VirajJuneja SeemaBowri MadhavSharma GoldyNotay AmeetChana NikkiPatel SimonRivers DeniFrancis MarkTakeshiOta
4221, Comedy Annapurna Pictures Gloria Sanchez Productions high school coming of age house party buddy high school student lgbt woman director sisterhood generation z teenager,2019,7.1,138123, EmilyHalpern SarahHaskins SusannaFogel KatieSilberman, OliviaWilde, KaitlynDever BeanieFeldstein JessicaWilliams JasonSudeikis LisaKudrow WillForte VictoriaRuesga MasonGooding SkylerGisondo DianaSilvers
4222, Action Comedy Crime Warner Bros. Pictures New Line Cinema Universal Pictures Bluegrass Films RatPac Entertainment Perfect World Pictures Artists First Principato-Young Entertainment central intelligence agency (cia) espionage spy secret agent high school reunion reconnect accountant radical transformation high school classmates glory days,2016,6.3,232789, IkeBarinholtz DavidStassen RawsonMarshallThurber, RawsonMarshallThurber, DwayneJohnson KevinHart DanielleNicolet AmyRyan JasonBateman AaronPaul RyanHansen TimGriffin TimothyJohnSmith SioneKelepi
4223, Action Adventure Animation Village Roadshow Pictures RatPac Entertainment LEGO Lin Pictures Vertigo Entertainment Warner Animation Group Animal Logic friendship parent child relationship prophecy superhero villain based on comic part live action based on toy falling in love anti villain super power good cop bad cop duringcreditsstinger live action and animation lego father son relationship loving mischievous playful irreverent evil tyrant witty hilarious whimsical celebratory euphoric exhilarated exuberant ridiculous,2014,7.7,408973, PhilLord ChristopherMiller DanHageman KevinHageman OleKirkChristiansen GodtfredKirkChristiansen JensNygaardKnudsen, PhilLord ChristopherMiller, ChrisPratt WillFerrell WillFerrell WillFerrell ElizabethBanks ElizabethBanks WillArnett WillArnett CraigBerry CraigBerry AlisonBrie DavidBurrows DavidBurrows AnthonyDaniels CharlieDay AmandaFarinos
4224, Animation Drama Fantasy MAPPA small town love time freeze  anime uncertainty audacious enchant,2023,6.4,2676, MariOkada, MariOkada SeimeiKidokoro, Jun'yaEnoki ReinaUeda MisakiKuno SaekoAkiho ZekeAlton ZekeAlton KanonAmane FeleciaAngelle FeleciaAngelle KirstenDay KirstenDay RobbieDaymond RobbieDaymond MadelineDorroh MadelineDorroh
